reference,name,listed-building,listed-building-grade,notes,start-date,end-date,entry-date,geometry
LB341,(North side) No.9 and attached railings and gate,1067344,II*,,1950-08-11,,,"POLYGON ((-0.17965 51.555585,-0.179799 51.55557,-0.179799 51.555598,-0.179798 51.555676,-0.179671 51.555678,-0.179667 51.555689,-0.179658 51.555689,-0.179651 51.555604,-0.17965 51.555585))"
LB342,(North side) No.9A,1067345,II,,1950-08-11,,,"POLYGON ((-0.179794 51.5557,-0.179826 51.555699,-0.179831 51.55568,-0.179899 51.555677,-0.179881 51.555591,-0.179799 51.555598,-0.179798 51.555676,-0.179794 51.5557))"
LB343,(North side) No.10 and attached railings,1067346,II,,1950-08-11,,,"POLYGON ((-0.179877 51.555562,-0.180021 51.555549,-0.180026 51.555565,-0.18005 51.555628,-0.180035 51.55563,-0.180004 51.555632,-0.180005 51.555637,-0.180021 51.555643,-0.180021 51.555653,-0.180011 51.555658,-0.179991 51.555658,-0.179995 51.555698,-0.179906 51.555704,-0.179899 51.555677,-0.179881 51.555591,-0.179879 51.555578,-0.179877 51.555562))"
LB344,(North side) No.11,1067347,II,,1950-08-11,,,"POLYGON ((-0.180021 51.555549,-0.180096 51.555541,-0.180082 51.555629,-0.180078 51.555637,-0.180049 51.555639,-0.18005 51.555628,-0.180026 51.555565,-0.180021 51.555549))"
LB345,"(North side) No.12 and attached railings, gate and lamp-holder",1067348,II,,1950-08-11,,,"POLYGON ((-0.180096 51.555541,-0.180082 51.555629,-0.180078 51.555637,-0.180063 51.555664,-0.180062 51.555669,-0.180183 51.555674,-0.180182 51.555687,-0.180172 51.555686,-0.180169 51.555709,-0.180214 51.555711,-0.180225 51.555578,-0.180128 51.555575,-0.180136 51.555536,-0.180096 51.555541))"
LB1005,(West side) No.58 and attached wall and gate piers,1113148,II,,1974-05-14,,,"POLYGON ((-0.144855 51.536048,-0.144821 51.536019,-0.144826 51.536017,-0.144808 51.535999,-0.144695 51.536047,-0.144748 51.536095,-0.144855 51.536048))"
LB346,(South side) No.15 and attached railings,1067349,II,,date,,,"POLYGON ((-0.180053 51.55534,-0.180062 51.55535,-0.180109 51.555343,-0.180163 51.555227,-0.180146 51.555224,-0.180142 51.555207,-0.180107 51.555201,-0.18009 51.555214,-0.180041 51.555207,-0.180022 51.555251,-0.18 51.555303,-0.179989 51.5553,-0.179974 51.555332,-0.179965 51.555334,-0.179975 51.555363,-0.180026 51.555356,-0.180031 51.555343,-0.180053 51.55534))"
LB347,(South side) No.16 and attached railings and lamp-holder,1067350,II,,1950-08-11,,,"POLYGON ((-0.179909 51.55522,-0.179986 51.555209,-0.179979 51.555246,-0.179975 51.555265,-0.179962 51.555324,-0.179947 51.555326,-0.17995 51.555336,-0.179958 51.555364,-0.179858 51.555379,-0.179823 51.555284,-0.179805 51.555232,-0.17984 51.555227,-0.179841 51.55523,-0.179909 51.55522))"
LB348,(South side) No.17 and attached railings to front and garden walls to rear,1067351,II,,1950-08-11,,,"POLYGON ((-0.179855 51.555372,-0.179858 51.55538,-0.179786 51.55539,-0.179774 51.555392,-0.179771 51.555384,-0.179734 51.555287,-0.179767 51.555282,-0.17977 51.555291,-0.179823 51.555284,-0.179855 51.555372))"
LB375,(East side) Nos.1-5 (Consecutive) and attached railings,1067374,II,,1974-05-14,,,"POLYGON ((-0.122269 51.529629,-0.122315 51.529612,-0.12233 51.529606,-0.122388 51.529661,-0.122424 51.529697,-0.122434 51.529706,-0.122472 51.529743,-0.122481 51.529752,-0.122516 51.529785,-0.122525 51.529794,-0.122557 51.529825,-0.122568 51.529836,-0.122552 51.529842,-0.122437 51.529886,-0.122421 51.529893,-0.122409 51.529879,-0.122413 51.529878,-0.122435 51.52987,-0.122407 51.529841,-0.122371 51.529805,-0.122317 51.529827,-0.122282 51.529792,-0.122335 51.529771,-0.122324 51.529759,-0.122243 51.529792,-0.122237 51.529785,-0.122264 51.529774,-0.122242 51.529753,-0.122296 51.529731,-0.122272 51.529708,-0.12225 51.529686,-0.122195 51.529707,-0.122173 51.529685,-0.122247 51.529655,-0.122235 51.529643,-0.122269 51.529629))"
LB376,(South side) Church of the Holy Cross,1067375,II,,1974-05-14,,,"POLYGON ((-0.123421 51.527379,-0.123428 51.527394,-0.123462 51.527476,-0.123475 51.527474,-0.123478 51.527481,-0.123465 51.527483,-0.123474 51.527505,-0.123477 51.527511,-0.123463 51.527514,-0.12346 51.527507,-0.123421 51.527513,-0.123426 51.527525,-0.123415 51.527526,-0.123412 51.527519,-0.123353 51.527529,-0.123354 51.527536,-0.123344 51.527538,-0.123342 51.527531,-0.123291 51.527539,-0.123294 51.527546,-0.123283 51.527548,-0.12328 51.527541,-0.123229 51.527549,-0.123232 51.527556,-0.123222 51.527557,-0.123219 51.527551,-0.123164 51.52756,-0.123171 51.527574,-0.12316 51.527576,-0.123157 51.527568,-0.123111 51.527575,-0.123113 51.52758,-0.123103 51.527582,-0.123083 51.527584,-0.123085 51.527591,-0.123046 51.527597,-0.123043 51.527591,-0.12303 51.527593,-0.122969 51.527447,-0.1232 51.527409,-0.123369 51.527382,-0.123371 51.527386,-0.123403 51.527381,-0.123401 51.527374,-0.123418 51.527371,-0.123421 51.527379))"
LB1043,(South West side) No.40,1113168,II,,1974-05-14,,,"POLYGON ((-0.175083 51.557945,-0.175181 51.55791,-0.175233 51.55789,-0.175222 51.557874,-0.175177 51.557885,-0.175152 51.557862,-0.175142 51.557866,-0.175033 51.557909,-0.175062 51.557938,-0.175074 51.557947,-0.175083 51.557945))"
LB1508,(South side) Nos.31-53 (Odd) and attached railings,1067377,II,,1974-05-14,,,"POLYGON ((-0.136833 51.534668,-0.136823 51.534652,-0.136857 51.534643,-0.13687 51.53466,-0.13691 51.534649,-0.1369 51.534634,-0.136933 51.534625,-0.136943 51.53464,-0.136979 51.534631,-0.13697 51.534616,-0.137005 51.534607,-0.137015 51.534622,-0.137057 51.534611,-0.137047 51.534596,-0.13708 51.534587,-0.137091 51.534603,-0.13713 51.534592,-0.137101 51.534548,-0.13714 51.534537,-0.137171 51.534584,-0.1372 51.534576,-0.137171 51.534532,-0.137214 51.534521,-0.137242 51.534564,-0.13728 51.534554,-0.137254 51.534515,-0.137288 51.534506,-0.137314 51.534546,-0.137349 51.534537,-0.13734 51.534522,-0.137372 51.534515,-0.137381 51.534528,-0.137426 51.534517,-0.137417 51.534503,-0.137448 51.534496,-0.137457 51.53451,-0.137497 51.534499,-0.137473 51.534462,-0.137516 51.534451,-0.137541 51.53449,-0.137572 51.534482,-0.137538 51.53443,-0.137587 51.534418,-0.13759 51.534422,-0.137611 51.534455,-0.137635 51.534449,-0.137646 51.534466,-0.137681 51.534518,-0.137682 51.534519,-0.137695 51.53454,-0.137704 51.534557,-0.137634 51.534575,-0.137655 51.534605,-0.137579 51.534625,-0.137508 51.534642,-0.137431 51.534662,-0.137362 51.53468,-0.137281 51.5347,-0.137214 51.534718,-0.137141 51.534736,-0.137063 51.534756,-0.136994 51.534774,-0.136919 51.534794,-0.136805 51.534823,-0.136758 51.534755,-0.136772 51.534751,-0.136742 51.534705,-0.13677 51.534697,-0.136763 51.534686,-0.136833 51.534668))"
LB377,"(North side) Nos.44 AND 46 Working Men's College and attached railings, wall and piers",1067378,II,,1974-05-14,,,"POLYGON ((-0.135645 51.535419,-0.135556 51.535316,-0.135554 51.535312,-0.135553 51.535308,-0.135554 51.535304,-0.135556 51.535299,-0.135559 51.535296,-0.135563 51.535293,-0.135566 51.535292,-0.135571 51.53529,-0.135639 51.535272,-0.135728 51.535248,-0.135819 51.535224,-0.135994 51.535177,-0.136128 51.535142,-0.136256 51.535108,-0.136337 51.535086,-0.136379 51.535075,-0.136385 51.535083,-0.136401 51.535108,-0.136407 51.535117,-0.136412 51.535124,-0.136479 51.53523,-0.136519 51.535292,-0.136543 51.535287,-0.136565 51.535323,-0.136389 51.535366,-0.136363 51.535323,-0.136251 51.535359,-0.136201 51.535376,-0.136182 51.535383,-0.136028 51.535433,-0.135957 51.535456,-0.135932 51.535465,-0.135904 51.535474,-0.135772 51.535516,-0.135737 51.535528,-0.135731 51.53552,-0.135722 51.535509,-0.1357 51.535484,-0.135681 51.535462,-0.135645 51.535419))"
LB378,(East side) 32 Cubitt Street,1067380,II,,1971-10-25,,,"POLYGON ((-0.116044 51.528073,-0.115886 51.528077,-0.115883 51.527989,-0.115897 51.527961,-0.116183 51.527955,-0.116185 51.527999,-0.116186 51.528027,-0.116187 51.528071,-0.116188 51.528085,-0.116074 51.528086,-0.116045 51.528086,-0.116044 51.528073))"
LB379,(East side) No.34 and attached railings,1067382,II,,1971-10-25,,,"POLYGON ((-0.116195 51.528143,-0.116178 51.528118,-0.116214 51.528108,-0.116216 51.528137,-0.116217 51.528168,-0.116217 51.528184,-0.116217 51.52819,-0.116218 51.528194,-0.116217 51.528197,-0.116216 51.528201,-0.116214 51.528204,-0.116211 51.528207,-0.116207 51.52821,-0.116202 51.528212,-0.116198 51.528214,-0.116178 51.52822,-0.116165 51.528203,-0.116115 51.528141,-0.116172 51.528125,-0.116187 51.528145,-0.116195 51.528143))"
LB380,(West side) No.65 and attached railings,1067383,II,,1971-10-25,,,"POLYGON ((-0.116572 51.528113,-0.116527 51.528122,-0.11643 51.528143,-0.116412 51.528134,-0.116412 51.528062,-0.116445 51.528055,-0.11644 51.528047,-0.116453 51.528045,-0.116436 51.528013,-0.116511 51.527996,-0.116572 51.528113))"
LB1665,(West side) Nos.1-59 (Consecutive) and attached railings,1067386,I,,1974-05-14,,,"MULTIPOLYGON (((-0.145364 51.531637,-0.145347 51.531599,-0.145382 51.531593,-0.145437 51.531583,-0.145583 51.531557,-0.145577 51.531545,-0.145575 51.53154,-0.14557 51.531531,-0.145677 51.531512,-0.14568 51.531512,-0.145699 51.531508,-0.145684 51.531475,-0.145662 51.531479,-0.145659 51.531479,-0.145628 51.53141,-0.145602 51.531351,-0.145573 51.531289,-0.145553 51.531244,-0.145542 51.531219,-0.145567 51.531215,-0.145551 51.531178,-0.145538 51.531181,-0.145533 51.531173,-0.145523 51.531148,-0.145589 51.531137,-0.145583 51.531123,-0.145517 51.531136,-0.145514 51.53113,-0.14551 51.531131,-0.145505 51.531116,-0.145574 51.531104,-0.14561 51.531097,-0.145719 51.531078,-0.145728 51.531097,-0.145618 51.531117,-0.145624 51.53113,-0.145713 51.531115,-0.145743 51.531181,-0.145745 51.531184,-0.145706 51.531191,-0.145732 51.531247,-0.145754 51.531247,-0.145785 51.531319,-0.145834 51.531432,-0.145815 51.531435,-0.145822 51.53145,-0.145862 51.531444,-0.145883 51.531441,-0.145916 51.531519,-0.145848 51.53153,-0.14585 51.531535,-0.145815 51.531541,-0.145765 51.531549,-0.145764 51.531546,-0.1457 51.531556,-0.145692 51.53154,-0.145587 51.531557,-0.145598 51.531583,-0.145562 51.531589,-0.145576 51.531622,-0.145612 51.531615,-0.145622 51.531638,-0.145634 51.531664,-0.145598 51.531669,-0.145611 51.5317,-0.145648 51.531693,-0.145658 51.531714,-0.145763 51.531697,-0.145773 51.531695,-0.145769 51.531683,-0.145808 51.531676,-0.145806 51.531672,-0.14587 51.531661,-0.145904 51.531654,-0.145907 51.531658,-0.145975 51.531646,-0.14601 51.531723,-0.145985 51.531728,-0.145898 51.531743,-0.145906 51.53176,-0.145927 51.531757,-0.145978 51.53187,-0.146025 51.531975,-0.146003 51.531979,-0.146015 51.532005,-0.146058 51.531998,-0.146054 51.531987,-0.146121 51.531975,-0.146152 51.532044,-0.146154 51.53205,-0.146176 51.532047,-0.146262 51.532242,-0.146241 51.532246,-0.146245 51.532253,-0.146276 51.532323,-0.146235 51.53233,-0.14621 51.532334,-0.146205 51.532323,-0.146163 51.53233,-0.146173 51.532353,-0.146194 51.53235,-0.146241 51.532457,-0.14629 51.53257,-0.146271 51.532574,-0.146278 51.532591,-0.146367 51.532576,-0.14639 51.532571,-0.146425 51.53265,-0.146356 51.532662,-0.146319 51.532669,-0.146319 51.532671,-0.14629 51.532677,-0.146288 51.532672,-0.146211 51.532686,-0.146202 51.532687,-0.146179 51.532675,-0.146174 51.532673,-0.146138 51.532679,-0.146092 51.532687,-0.146102 51.53271,-0.146067 51.532716,-0.146081 51.532749,-0.146117 51.532742,-0.146127 51.532766,-0.146139 51.532792,-0.146104 51.532798,-0.146117 51.532831,-0.146153 51.532825,-0.146163 51.532846,-0.145925 51.532888,-0.145908 51.532851,-0.145969 51.532841,-0.14595 51.532797,-0.145932 51.532757,-0.145871 51.532768,-0.145853 51.53273,-0.145885 51.532724,-0.145925 51.532717,-0.146083 51.532689,-0.146075 51.532674,-0.146073 51.53267,-0.146072 51.532666,-0.146136 51.532655,-0.146186 51.532646,-0.146207 51.532642,-0.14619 51.532606,-0.14612 51.532618,-0.146115 51.532619,-0.145998 51.532357,-0.14607 51.532345,-0.146045 51.532289,-0.145951 51.532076,-0.145925 51.532021,-0.145853 51.532033,-0.145736 51.531772,-0.145742 51.531771,-0.145813 51.531759,-0.145796 51.531722,-0.145777 51.531725,-0.145725 51.531734,-0.145659 51.531745,-0.145655 51.531736,-0.145647 51.531717,-0.145489 51.531744,-0.145454 51.53175,-0.145417 51.531757,-0.145401 51.53172,-0.145462 51.53171,-0.145444 51.531669,-0.145425 51.531627,-0.145364 51.531637)),((-0.145861 51.531559,-0.145886 51.531555,-0.145894 51.531573,-0.14587 51.531578,-0.14586 51.53158,-0.145852 51.531561,-0.145861 51.531559)),((-0.146589 51.533204,-0.146558 51.53321,-0.14656 51.533213,-0.146527 51.533219,-0.146526 51.533216,-0.146457 51.533228,-0.14639 51.533239,-0.146383 51.533225,-0.146335 51.533234,-0.14636 51.533286,-0.146385 51.533342,-0.146363 51.533345,-0.146252 51.533364,-0.146244 51.533348,-0.146168 51.53336,-0.146166 51.533355,-0.146133 51.533354,-0.146122 51.533329,-0.14611 51.533303,-0.146137 51.533291,-0.146134 51.533286,-0.146211 51.533272,-0.146204 51.533257,-0.146293 51.533241,-0.146263 51.533176,-0.14625 51.533145,-0.146393 51.533121,-0.146379 51.53309,-0.146236 51.533114,-0.146232 51.533108,-0.146207 51.53305,-0.146205 51.533045,-0.146176 51.532983,-0.146147 51.532916,-0.146235 51.5329,-0.146325 51.532884,-0.146308 51.532847,-0.146256 51.532857,-0.146246 51.532833,-0.146244 51.53283,-0.14625 51.532829,-0.14626 51.532812,-0.146339 51.532799,-0.146338 51.532794,-0.146372 51.532788,-0.146374 51.532793,-0.146411 51.532787,-0.146481 51.532775,-0.146515 51.532851,-0.146494 51.532854,-0.146458 51.532861,-0.146466 51.532881,-0.146488 51.532878,-0.146508 51.532924,-0.146487 51.532928,-0.146497 51.53295,-0.146519 51.532946,-0.146538 51.532992,-0.146557 51.533035,-0.146537 51.533038,-0.146542 51.533052,-0.146563 51.533048,-0.146585 51.533102,-0.146566 51.533105,-0.146573 51.533122,-0.146611 51.533116,-0.146632 51.533112,-0.146661 51.533178,-0.146667 51.533192,-0.146589 51.533204)),((-0.145886 51.531613,-0.14591 51.531609,-0.145918 51.531629,-0.145894 51.531632,-0.145884 51.531634,-0.145875 51.531615,-0.145886 51.531613)),((-0.146391 51.53274,-0.146415 51.532735,-0.146425 51.532757,-0.1464 51.532761,-0.146388 51.532763,-0.14638 51.532742,-0.146391 51.53274)),((-0.146399 51.532701,-0.146376 51.532706,-0.146364 51.532708,-0.146355 51.532687,-0.146367 51.532685,-0.146391 51.532681,-0.146399 51.532701)))"
LB1500,"(North side) No.20 and attached garden wall, railings, gate piers and gate",1067399,II,,1974-05-14,,,"POLYGON ((-0.169541 51.556329,-0.16963 51.556266,-0.16964 51.55627,-0.169689 51.556298,-0.169693 51.5563,-0.169777 51.556346,-0.169822 51.556372,-0.169824 51.556373,-0.169736 51.556437,-0.169685 51.556408,-0.169605 51.556364,-0.169596 51.556359,-0.169541 51.556329))"
LB381,(East side) Church of St Mary Brookfield,1067389,II*,,1954-06-10,,,"POLYGON ((-0.14129 51.559675,-0.141269 51.559644,-0.141213 51.559658,-0.14121 51.559654,-0.141156 51.559668,-0.141153 51.559664,-0.141142 51.559667,-0.141144 51.559671,-0.141077 51.559689,-0.141073 51.559685,-0.141061 51.559688,-0.141063 51.559693,-0.140998 51.559709,-0.140996 51.559705,-0.140985 51.559708,-0.140989 51.559713,-0.140923 51.559728,-0.140918 51.559724,-0.140905 51.559727,-0.140908 51.559731,-0.140842 51.559749,-0.140838 51.559745,-0.140827 51.559748,-0.140831 51.559753,-0.140816 51.559757,-0.140739 51.559779,-0.140664 51.559802,-0.140685 51.559834,-0.140702 51.559829,-0.140758 51.559913,-0.14077 51.55991,-0.140766 51.559904,-0.140814 51.559891,-0.140833 51.559918,-0.140818 51.559922,-0.140824 51.559928,-0.140837 51.559926,-0.140843 51.559931,-0.140852 51.559929,-0.140848 51.559923,-0.140926 51.559903,-0.140933 51.559909,-0.140946 51.559905,-0.140942 51.559899,-0.141011 51.559882,-0.141016 51.559888,-0.141026 51.559884,-0.141022 51.559879,-0.141089 51.559862,-0.141093 51.559868,-0.141103 51.559865,-0.1411 51.559859,-0.141162 51.559842,-0.141167 51.559849,-0.14118 51.559845,-0.141176 51.559838,-0.141243 51.559821,-0.141266 51.559855,-0.141278 51.559853,-0.141272 51.559845,-0.141311 51.559836,-0.141324 51.559838,-0.141328 51.559832,-0.141315 51.559828,-0.141301 51.559807,-0.141311 51.559803,-0.141289 51.559766,-0.141302 51.559762,-0.141296 51.559752,-0.141282 51.559756,-0.141246 51.559704,-0.141256 51.5597,-0.141248 51.559686,-0.14129 51.559675))"
LB382,(South side) Nos.15-25 (Odd) and attached railings,1067390,II,,1974-05-14,,,"POLYGON ((-0.142856 51.53645,-0.142886 51.536442,-0.142855 51.536404,-0.14299 51.536365,-0.143019 51.536402,-0.143056 51.53639,-0.143084 51.536382,-0.14307 51.536366,-0.143097 51.536358,-0.14312 51.536386,-0.143138 51.536382,-0.143128 51.536369,-0.143156 51.53636,-0.143144 51.536346,-0.14317 51.536337,-0.143192 51.536364,-0.143208 51.53636,-0.143197 51.536346,-0.143243 51.536332,-0.143255 51.536346,-0.143246 51.536349,-0.14328 51.536393,-0.143298 51.536417,-0.143275 51.536423,-0.143285 51.536435,-0.143231 51.536451,-0.143221 51.536439,-0.143199 51.536445,-0.143207 51.536457,-0.143159 51.536471,-0.143149 51.53646,-0.14313 51.536465,-0.143139 51.536477,-0.143092 51.536491,-0.143082 51.536479,-0.143061 51.536485,-0.143069 51.536497,-0.143025 51.53651,-0.143015 51.536499,-0.142994 51.536505,-0.143004 51.536516,-0.142959 51.53653,-0.142949 51.536517,-0.142926 51.536525,-0.142934 51.536536,-0.142885 51.536551,-0.142876 51.53654,-0.142823 51.536474,-0.142813 51.536463,-0.142856 51.53645))"
